text,label
"i would like to track a card sent to me, how do i do that?",card_arrival
what exchange rate will i receive?,exchange_rate
i don't have a way to prove my identity.,unable_to_verify_identity
will you tell me how to exchange usd for gbp in the app?,exchange_via_app
someone has taken my phone from my hotel room!,lost_or_stolen_phone
why did i only get 20.00,wrong_amount_of_cash_received
was there a problem with topping up?,top_up_failed
"my pin needs unblocking, unblock it please?",pin_blocked
"transfers can take up to one day to process before departing for the beneficiary accounts. please confirm that you've entered your account details correctly. sepa transfers can take up to two working days, while swift transfers can take up to five working days.",pending_transfer
why was i declined when i tried to get my money?,declined_cash_withdrawal
"there are incorrect charges on my account, there was a wd that was made by someone else. i still have my card though.",cash_withdrawal_not_recognised
can i get money out of any machine?,atm_support
why do i have a strange payment on my statement?,card_payment_not_recognised
i submitted a transaction but it was for the incorrect account.,cancel_transfer
what is the source of the money in my account?,verify_source_of_funds
the amount of money i pushed at the atm machine did not come out of the machine.,wrong_amount_of_cash_received
my statement does not reflect that a refund has been issued,Refund_not_showing_up
my card isn't here yet.,card_arrival
i need quickly transfer something from china. about how long will it take?,transfer_timing
does the topup need verified?,verify_top_up
how do i exchange currencies using this app?,exchange_via_app
please check the exchange rate for my payment last saturday. i believe i have been overcharged.,card_payment_wrong_exchange_rate
what countries are you supporting?,country_support
do you support changing the currency i use?,exchange_via_app
the bank transfer was declined,declined_transfer
i think my transfer failed. what do i do now?,failed_transfer
what's the time frame normally for a uk account transfer? i just made one and it's not showing up anywhere. i want to be sure that everything is good.,balance_not_updated_after_bank_transfer
why is there a fee added to my statement?,extra_charge_on_statement
"please help me with this transfer, for some reason i can't transfer to a cryptocurency account",declined_transfer
tell me why my card payment would be reverted.,reverted_card_payment?
what is going on with my cash withdrawal? the exchange rate is wrong,wrong_exchange_rate_for_cash_withdrawal
what are the reasons why you would not be able to process a payment,beneficiary_not_allowed
i have exceeded all my pin tries,pin_blocked
why can't i use my card?,card_not_working
what is the verification process for my card?,verify_top_up
what is the status of my card's delivery?,card_arrival
i ordered online weeks ago and i never received my package in the mail and i don't want to wait any more. so if i could get my money back now that would be great.,request_refund
"i got mugged yesterday and they took everything. i can't use the app, so i need some help.",lost_or_stolen_phone
how do i stop fraud to my card?,compromised_card
my card is missing. please help.,lost_or_stolen_card
can i get a few more physical cards?,getting_spare_card
what areas are cards delivered to?,order_physical_card
what would the age limit be?,age_limit
hello i changed my mind and really need a refund on one of things i bought recently. can you please cancel the transaction and get me my money back. pls it's urgent,request_refund
why was my cash withdrawal cancelled at the atm?,declined_cash_withdrawal
can i withdraw money in my hometown currency while on holiday without any additional fees?,wrong_exchange_rate_for_cash_withdrawal
where'd the rest of my cash go from the atm,wrong_amount_of_cash_received
i was charged multiple times at the same location at the same time,transaction_charged_twice
my atm transaction was cancelled.,declined_cash_withdrawal
"i double checked that i have the correct account details already, they're right for sure. transfer is still pending since forever. it should not have been done so.",pending_transfer
am i going to be charged for receiving money?,top_up_by_bank_transfer_charge
"hello, i'm a brand new customer and tried topping up for the first time today. it has been pending for half an hour and doesn't seem to be working. please resolve this.",pending_top_up
i would like to know what exchange rates you use?,exchange_rate
when does a uk transfer show up?,balance_not_updated_after_bank_transfer
this exchange rate you use is awful! please tell me this is a mistake and not the official interbank exchange rate!,card_payment_wrong_exchange_rate
"i can't get my card out of the atm, what should i do now?",card_swallowed
the rate of exchange for my cash withdrawal is wrong.,wrong_exchange_rate_for_cash_withdrawal
what flat currencies do you support for holding and exchange?,fiat_currency_support
i just had a look at my statement. why have i been changed for using the atm?,cash_withdrawal_charge
"hey there, i just went through my most recent credit card payments and i notice the same charge for a restaurant was processed twice. there was only one meal at this place, so i would like one of the charges to be reversed and my money to be put back in the account.",transaction_charged_twice
i transfered my balance a while back. why doesn't my account reflect this?,balance_not_updated_after_bank_transfer
how is it possible to add another card to account,getting_spare_card
is there a list of atms that take this card?,atm_support
how can i get another card?,getting_spare_card
i'm not able to verify my identity.,unable_to_verify_identity
how long does transfer from the us take?,transfer_timing
"i withdrew cash from an atm earlier but it shows up as pending in the app. how can this still be pending, i received the cash already?",pending_cash_withdrawal
what happened! i asked for 30 pounds at your atm and only go 10. the machine lied about it too. it said i received the full 30 pounds. someone better help me asap on this.,wrong_amount_of_cash_received
i did a transaction to a wrong account!,cancel_transfer
can i add money to my card automatically during a trip?,automatic_top_up
can money be exchanged from one currency to another?,exchange_via_app
how many transactions can go on a disposable card?,disposable_card_limits
i'd like to know where my funds come from.,verify_source_of_funds
why is the app showing a still pending message on a withdraw that has already been done?,pending_cash_withdrawal
"there are multiple instances where you added a fee to the payment, as well as some where you didn't. do you have an outline of when a fee will be added?",card_payment_fee_charged
"i have a transfer from the us, how long is the wait?",transfer_timing
my automatic topup was unsuccessful,top_up_reverted
i tried to do a transfer but it didn't go through.,failed_transfer
where is the pin for my card located?,get_physical_card
"your card pin can be changed at any visa or mastercard atm with pin services, excluding countries such as belgium, luxembourg, austria, germany, spain, and france.",change_pin
when will i receive the cash payment from the check i deposited?,balance_not_updated_after_cheque_or_cash_deposit
"why did i get charged a fee, i thought it was free?",cash_withdrawal_charge
do i get a discount if i exchange currencies a lot?,exchange_charge
why did my payment fail?,declined_card_payment
i've got a repeated tranasaction on my card.,transaction_charged_twice
i can't get my actual card to work,card_not_working
"the expiration date for my card is coming up, how do i get a new card?",card_about_to_expire
why won't my card work.,card_not_working
i'd like to apply for a visa card.,visa_or_mastercard
i was just contacted by a seller that let me know they didn't get my money even though i'm very sure it was removed from my account. now it's back in my account. get this resolved quickly.,reverted_card_payment?
why is this payment pending?,pending_card_payment
are there atm fees?,cash_withdrawal_charge
it appears i have a fee in my statement.,extra_charge_on_statement
does the card you sent have a tracking number?,card_arrival
what can i use to verify my identity?,verify_my_identity
i have a direct debit i didn't make,direct_debit_payment_not_recognised
i bought something this morning and the payment is still pending,pending_card_payment
can i top up from a usa credit card,supported_cards_and_currencies
does this app have the same exchange rate as third parties?,exchange_rate
what cards and currencies are accepted?,supported_cards_and_currencies
how long will it take for my top up to work? it's still pending,pending_top_up
i'm due a refund and it is not on my statement.,Refund_not_showing_up
why is it important to verify my identity?,why_verify_identity
"i have enough money in my account, so why is my card being declined?",declined_card_payment
why did my payment get declined?,declined_transfer
i would like to edit my personal information .,edit_personal_details
has my top up gone through?,pending_top_up
i can't figure out why a transfer is still pending?,pending_transfer
i don't have a pin at this point.,get_physical_card
the atm keeps declining my transaction . i tried two different atms already would you please check if everything is okay with my account?,declined_cash_withdrawal
why did i get a fee from the atm?,cash_withdrawal_charge
"if i lost my phone at the hotel, can i still use the app?",lost_or_stolen_phone
why do i need to verify my account?,why_verify_identity
why did i have to pay an additional amount when using my card to pay?,card_payment_fee_charged
am i allowed to transfer money to a beneficiary?,beneficiary_not_allowed
how can my new card be activated?,activate_my_card
what currencies do you accept?,fiat_currency_support
"after i deposited my cash, i still don't see it in my account.",balance_not_updated_after_cheque_or_cash_deposit
can i have a virtual card?,getting_virtual_card
"hello, i tried to top up with my card, but it didn't work. i just got it a couple days before and it works fine. what's the deal? can you check into this?",top_up_failed
"hello, i tried to take out some money out of the atm, but it's still showing that it's pending? i really don't want to be charged for this.",pending_cash_withdrawal
i do not know where the transaction is.,transfer_not_received_by_recipient
i have just read my statement and there is a payment i don't recognise.,card_payment_not_recognised
what is the purpose of requiring my identification?,why_verify_identity
how long are my top ups pending,pending_top_up
i have a new card. how do i activate it?,activate_my_card
how do i query a payment on my card? it looks like i have paid for the same thing twice.,transaction_charged_twice
i tried doing an in country transfer earlier this week. i thought it would be there by now but i still don't see the money. can you check the status on my transfer?,transfer_not_received_by_recipient
my topup was rejected by an app.,top_up_failed
help me terminate and close my account.,terminate_account
can i transfer money i the app,transfer_into_account
can i automatically topup when traveling?,automatic_top_up
"hey i double checked that i have the correct account details already, they're right for sure. transfer is still pending since forever. it's not that difficult to transfer money to another country in 2018 is it?",pending_transfer
"for the identity check, do i need any kind of documentation?",verify_my_identity
why haven't i received my new card yet?,card_arrival
what countries can i use the card in?,country_support
how and where can i find the identity checks?,verify_my_identity
i wanted to know what discounts were offered for current exchanges as it is something that occurs frequently.,exchange_charge
can i start an account for my kids?,age_limit
are cheques accepted for a top up?,top_up_by_cash_or_cheque
what is this extra pound charge for?,extra_charge_on_statement
my card doesn't work when i use it.,card_not_working
my transfer didn't work! help!,failed_transfer
"always exchanging currencies, do you offer a discount?",exchange_charge
i don't know what pending transaction means.,pending_card_payment
the atm wouldn't let me have my money.,declined_cash_withdrawal
i think there was an error in your exchange rate.,card_payment_wrong_exchange_rate
"i tried to top off using the card, but the money just disappeared?",topping_up_by_card
what am i missing to verify my id?,unable_to_verify_identity
can i cancel this purchase?,request_refund
what are your supported countries?,country_support
i keep checking my statements but nothing shows up. i requested a refund a long time ago but seems it's not reaching my account for some reason. would you please help me get the money back from the seller.,Refund_not_showing_up
which countries do you currently support?,country_support
do you have info about the card on delivery?,card_arrival
who should i contact if my refund doesn't go through?,Refund_not_showing_up
i was refunded the money for something i bought already.,reverted_card_payment?
can i change my in at all atm's?,change_pin
i have used this account overseas recently. has there been an increase in fees that i am unaware of?,transfer_fee_charged
why is there a fee on my money transfer?,transfer_fee_charged
can you give me info about what to do when my card expires?,card_about_to_expire
"i made a transfer and according to the receiver they haven't received the right amount its lesser than it should be.now i have to transfer more money to make up for the missing amount . can you please help me about this, what should be done ?",transfer_fee_charged
i don't know the code for the app.,passcode_forgotten
what is the main reason of this problem,card_not_working
my credit card payment has been in pending status for a super long time. i don't get it. why is it like this? when will it go through?,pending_card_payment
how is the pin delivered?,get_physical_card
"i tried to add a topup to my account but the money isn't there, anymore. did i do something wrong?",top_up_reverted
how do i cancel a transfer?,cancel_transfer
i see an unfamiliar direct debit payment.,direct_debit_payment_not_recognised
can i have more than one card?,getting_spare_card
what kind of fees will i pay when i transfer?,transfer_fee_charged
my top up is not working,top_up_failed
where is my recent refund in the my statement?,Refund_not_showing_up
my new card needs activating.,activate_my_card
can i make an account for my kids?,age_limit
what does it mean when a payment is pending?,pending_card_payment
whats wrong with my currency exchange?,wrong_exchange_rate_for_cash_withdrawal
my identity verification hasn't passed yet is it possible to use my account?,why_verify_identity
my transfer didn't complete. why can't i access funds?,failed_transfer
i saw a fee on my receipt from withdrawing money while shopping earlier. is there supposed to be a fee for this type of transaction?,cash_withdrawal_charge
i would like a physical card,order_physical_card
can you let me know why my cash withdrawal is still pending?,pending_cash_withdrawal
"i don't think the transaction has gone through, so can i cancel a transfer?",cancel_transfer
is there a reason for my top up to be cancelled?,top_up_reverted
there are a couple payments with my card in the app i see that i didn't create. what is happening? maybe someone gained access to my account.,card_payment_not_recognised
is it possible to get both a visa and a mastercard?,visa_or_mastercard
please list what fiat currencies are supported for both holding and exchanging.,fiat_currency_support
how do you do currency exchanges?,exchange_rate
"there's an extra fee on my statement, why is that?",extra_charge_on_statement
can i link your physical card,card_linking
i want a new pin please.,change_pin
instruct me how to reset the passcode.,passcode_forgotten
how are foreign exchange rates determined?,exchange_rate
tell me what i need to do to activate my card.,activate_my_card
"my bank is in europe, how long will the transfer take?",transfer_timing
i wanted 100 but only got 20,wrong_amount_of_cash_received
my card is expiring so how fast can i get a new one and how much will it be?,card_about_to_expire
why isn't my beneficiary allowed?,beneficiary_not_allowed
has my topup gone through?,top_up_reverted
i can't see the transfer that i put in.,balance_not_updated_after_bank_transfer
can i obtained a visa card,visa_or_mastercard
is there a reason that my transfer failed?,failed_transfer
1 charge in transaction.,extra_charge_on_statement
which currencies can i use to add money?,supported_cards_and_currencies
"how do i see what fees i am supposed to be charged on my account? i've noticed fees on some transactions, but not on others. this is very confusing and i cannot find a pattern to what i am being charged?",card_payment_fee_charged
a transaction posted twice to my account.,transaction_charged_twice
why won't you let me name x as a beneficiary?,beneficiary_not_allowed
i didn't make a payment that shows in my app.,card_payment_not_recognised
i haven't seen the cash yet from the cheque i deposited.,balance_not_updated_after_cheque_or_cash_deposit
"help me please, my apple pay american express top up does not work.",apple_pay_or_google_pay
why does it show that my transfer is still pending?,pending_transfer
when will the cash that i put in the atm be cleared from pending status?,pending_cash_withdrawal
will there be any extra fees if i exchange currencies?,exchange_charge
i have been charged twice for the same transaction.,transaction_charged_twice
why is the cash not showing in my account for the check i deposited?,balance_not_updated_after_cheque_or_cash_deposit
what currency is supported for exchanges and holding?,fiat_currency_support
what are the reasons for my beneficiary not being allowed?,beneficiary_not_allowed
is it possible to use an atm when i am not in the country and make a withdraw with out extra fees?,wrong_exchange_rate_for_cash_withdrawal
"i'd like to get a visa card, please.",visa_or_mastercard
can i use your services without access to the app?,lost_or_stolen_phone
is there a fee that comes with transfers?,transfer_fee_charged
a debit came through that i need to dispute.,direct_debit_payment_not_recognised
i want to use a payment card to top up my account. how can i do this?,supported_cards_and_currencies
are their fee's for top ups?,top_up_by_card_charge
my transaction is on the wrong account.,cancel_transfer
i'm still waiting for my transaction.,transfer_not_received_by_recipient
i want to change my pin.,change_pin
are you only able to get a card if you're in the uk?,country_support
how do i order a disposable virtual card?,get_disposable_virtual_card
"the expiration date on my card is very soon, and i need to get a new one. what are the price and delivery options for my replacement card?",card_about_to_expire
"i was out today looking forward to paying with my brand new card, turns out the payment just kept getting declined. this is pretty sad, what's going on?",declined_card_payment
who can put money in my account?,verify_source_of_funds
how much does a transfer cost?,top_up_by_bank_transfer_charge
why can't i transfer money to a beneficiary,beneficiary_not_allowed
why are my transfers not going through. i have tried over 4 times to get it to work. this is just a simple transfer. is something else causing this in the system? is it broken?,failed_transfer
how can i obtain a disposable virtual card?,get_disposable_virtual_card
why did i only get 20 now the full amount i wanted?,wrong_amount_of_cash_received
my friend has not got the money i sent last week.,transfer_not_received_by_recipient
i want to get a visa,visa_or_mastercard
my transfer isn't there,balance_not_updated_after_bank_transfer
my passcode was denied.,passcode_forgotten
how do i dispute a debit that i didn't make?,direct_debit_payment_not_recognised
for what reason is my transfer still pending now?,pending_transfer
why did i get declined during a transfer?,declined_transfer
help! i've forgot my app passcode!,passcode_forgotten
my currencies needed to be exchanged often and i was wondering if there were any discounts available for this?,exchange_charge
there are two of the same charge on my statement.,transaction_charged_twice
"my transfer was declined, why is that?",declined_transfer
why didn't i receive the right amount of cash at the atm?,wrong_amount_of_cash_received
what is this withdrawal as i do not remember making it.,cash_withdrawal_not_recognised
what i topped up was reverted by the app.,top_up_reverted
can i get a visa instead of a mastercard?,visa_or_mastercard
"i haven't received my card yet, how long does it normally take?",card_delivery_estimate
why is top up not working if i use my american express with my apple pay?,apple_pay_or_google_pay
unsupported transfer declined,declined_transfer
why was my card declined in a shop?,declined_card_payment
"a strange card payment, i do not recognize it.",card_payment_not_recognised
is there restrictions on where i can use my card?,card_acceptance
editing my personal details,edit_personal_details
i have to make more then a few disposable cards per day.,disposable_card_limits
help! in the app there is a payment that i don't remember.,card_payment_not_recognised
why hasn't the app verified my identity?,unable_to_verify_identity
there is a record of payment i never submitted on the app.,card_payment_not_recognised
"i'm looking in the app and can't find my pin, where should i look?",get_physical_card
what is the estimated wait time on a us transfer into my account?,transfer_timing
i have no idea why there is a dollar that has been charged to my account.,extra_charge_on_statement
why was i charged twice for the same transaction?,transaction_charged_twice
i can't withdraw money,declined_cash_withdrawal
how much does it cost to us us cards?,top_up_by_card_charge
i need to verify my funds.,verify_source_of_funds
i need more assistance with how to activate my card.,activate_my_card
a friend was telling me about her disposable cards. what would i have to do to be able to get that feature?,disposable_card_limits
the card pin is not visible anywhere?,get_physical_card
can you tell me the countries you operate in?,country_support
i did a transfer and i was charged a fee that shouldn't be there!,transfer_fee_charged
which cash machines will allow me to change my pin?,change_pin
i am still waiting for a refund,Refund_not_showing_up
i don't see my card anywhere in the app.,card_linking
are there limitations to what currency i can hold?,fiat_currency_support
can i cancel a transaction?,cancel_transfer
how do i know what the exchange rate will be when i make an exchange.,exchange_rate
can you make sure i get a mastercard and not a visa?,visa_or_mastercard
"my transaction history is looking a little off. i have been charged twice for multiple different purchases, and would like to have those duplicate charges refunded.",transaction_charged_twice
what are these disposable cards meant for?,get_disposable_virtual_card
do you accept any card and currency?,supported_cards_and_currencies
i have not received an item i ordered yet so i want to cancel it and get a refund. can you please guide me on how to go about it?,request_refund
i have a card payment that has been pending for some time and would like to know when it is going to go through.,pending_card_payment
how long will it take the money to appear in my account?,transfer_timing
please provide me with the restrictions of the disposable cards.,disposable_card_limits
how do i activate a card?,activate_my_card
i am having trouble transferring money to a beneficiery.,beneficiary_not_allowed
i used foreign currency to buy something and i think the rate applied is incorrect.,card_payment_wrong_exchange_rate
i made a transfer from france a couple days ago and don't see the transaction yet. how long does an international transfer take?,balance_not_updated_after_bank_transfer
is there a frequent currency discount?,exchange_charge
how do i add my new card to the app?,card_linking
why am i having trouble withdrawing cash?,declined_cash_withdrawal
i couldn't get money from the atm,declined_cash_withdrawal
do i need to wait for my card before i get pin,get_physical_card
why would a transfer to an account not be allowed?,beneficiary_not_allowed
why do we need to verify topup?,verify_top_up
are there any restrictions on where i use this card?,card_acceptance
balance is not up to date.,balance_not_updated_after_bank_transfer
can i get a card in the eu?,country_support
i am having trouble with the app recognizing me.,unable_to_verify_identity
the atm didn't give me the full requested amount,wrong_amount_of_cash_received
will i be charged for a top off transfer?,top_up_by_bank_transfer_charge
i have a payment i didnt make on my account,card_payment_not_recognised
"hi! i'm a university student studying abroad and i noticed that when i was trying to crossreference my budget for this month that there were extra fees i was not expecting. why is that? i've had this account for years and i haven't had any trouble so far, it might not even be on your all's end since i'm still new to international travel and finance, but i wanted to double check in case a mistake was made!",transfer_fee_charged
i'm not seeing my cash deposit showing up in my account.,balance_not_updated_after_cheque_or_cash_deposit
where can i top my card for free?,top_up_by_card_charge
why isn't my topup working?,top_up_failed
"i lost my phone, what should i do?",lost_or_stolen_phone
at which locations can i order a card?,order_physical_card
please send my refund now.,Refund_not_showing_up
i still have not received an answer as to why i was charged 1.00 in a transaction?,extra_charge_on_statement
do you ship your cards anywhere?,order_physical_card
my source of funds need verification.,verify_source_of_funds
"i dont know what happened, but my payment was cancelled",reverted_card_payment?
are there restrictions to transfers to certain accounts?,beneficiary_not_allowed
what is the procedure for an expired card?,card_about_to_expire
it won't let me prove my identity.,unable_to_verify_identity
the exchange rate on my payment was wrong,card_payment_wrong_exchange_rate
why was i charged 1 in a transaction?,extra_charge_on_statement
i do not recognise this card payment.,card_payment_not_recognised
when do i get charged a fee for using the card?,card_payment_fee_charged
why do you need me to do an identity check?,why_verify_identity
what do you think of the exchange rate?,exchange_rate
how can i fix my bank transfer to show up on my bank account?,balance_not_updated_after_bank_transfer
how do i set up an account for my children?,age_limit
what was the extra charge for withdrawing money?,cash_withdrawal_charge
"i tried to make a transfer, but it didn't work.",failed_transfer
why did the app deny my topup?,top_up_failed
"hello, i have a pending transaction in my account due to an atm machine that wasn't working. in any case if the transaction goes through, after how long can i get my money back?",pending_cash_withdrawal
im going to need to make a transfer from a uk account but i need it to go through asap. is that going to be possible or will it take forever?? im hoping it will be a couple hours and not a couple weeks.,balance_not_updated_after_bank_transfer
i didn't realize that there were any fees for withdrawing money from my accountthis has never happened to me before. what exactly are the fees?,cash_withdrawal_charge
the exchange rate applied is wrong for my international purchase.,card_payment_wrong_exchange_rate
my account did not allow the transfer.,beneficiary_not_allowed
i don't understand where this charge came from.,card_payment_not_recognised
i would like to get some extra cards?,getting_spare_card
i've forgotten my passcode. can i reset?,passcode_forgotten
why is my transfer pending?,pending_transfer
i think my card payment has been refunded,reverted_card_payment?
can i auto top up multiple times?,automatic_top_up
"i think something is wrong with your top up. i've been waiting a little over an hour for this to go through, can you send it through for me?",pending_top_up
a fee came along with me paying with card,card_payment_fee_charged
why is my transfer stuck on pending?,pending_transfer
when does my transfer from the us arrive in my account?,transfer_timing
can i check to see where the funds came from?,verify_source_of_funds
how do i change my last name?,edit_personal_details
how do i take a block off my card?,pin_blocked
what currencies do you accept to add money?,supported_cards_and_currencies
how do i get unblocked?,pin_blocked
